OBJECT_NAME,OBJECT_IDENTIFIER,OBJECT_DATA_TYPE,OBJECT_PREMISSIONS,OBJECT_CLASS,OBJECT_NODE_TYPE,OBJECT_DESCRIPTION
ciscoPro743,1.3.6.1.4.1.9.1.86,,,objectidentity,,""
ciscoPro744,1.3.6.1.4.1.9.1.87,,,objectidentity,,""
ciscoPro761,1.3.6.1.4.1.9.1.88,,,objectidentity,,""
ciscoPro762,1.3.6.1.4.1.9.1.89,,,objectidentity,,""
ciscoPro763,1.3.6.1.4.1.9.1.90,,,objectidentity,,""
ciscoPro764,1.3.6.1.4.1.9.1.91,,,objectidentity,,""
ciscoPro765,1.3.6.1.4.1.9.1.92,,,objectidentity,,""
ciscoPro766,1.3.6.1.4.1.9.1.93,,,objectidentity,,""
cisco741,1.3.6.1.4.1.9.1.94,,,objectidentity,,""
cisco742,1.3.6.1.4.1.9.1.95,,,objectidentity,,""
cisco743,1.3.6.1.4.1.9.1.96,,,objectidentity,,""
cisco744,1.3.6.1.4.1.9.1.97,,,objectidentity,,""
cisco761,1.3.6.1.4.1.9.1.98,,,objectidentity,,""
cisco762,1.3.6.1.4.1.9.1.99,,,objectidentity,,""
cisco763,1.3.6.1.4.1.9.1.100,,,objectidentity,,""
cisco764,1.3.6.1.4.1.9.1.101,,,objectidentity,,""
cisco765,1.3.6.1.4.1.9.1.102,,,objectidentity,,""
cisco766,1.3.6.1.4.1.9.1.103,,,objectidentity,,""
ciscoPro2520,1.3.6.1.4.1.9.1.104,,,objectidentity,,""
ciscoPro2522,1.3.6.1.4.1.9.1.105,,,objectidentity,,""
ciscoPro2524,1.3.6.1.4.1.9.1.106,,,objectidentity,,""
ciscoLS1010,1.3.6.1.4.1.9.1.107,,,objectidentity,,""
cisco7206,1.3.6.1.4.1.9.1.108,,,objectidentity,,""
ciscoAS5200,1.3.6.1.4.1.9.1.109,,,objectidentity,,""
cisco3640,1.3.6.1.4.1.9.1.110,,,objectidentity,,""
ciscoCatalyst3500,1.3.6.1.4.1.9.1.111,,,objectidentity,,""
ciscoWSX3011,1.3.6.1.4.1.9.1.112,,,objectidentity,,""
cisco1601,1.3.6.1.4.1.9.1.113,,,objectidentity,,""
cisco1602,1.3.6.1.4.1.9.1.114,,,objectidentity,,""
cisco1603,1.3.6.1.4.1.9.1.115,,,objectidentity,,""
cisco1604,1.3.6.1.4.1.9.1.116,,,objectidentity,,""
ciscoPro1601,1.3.6.1.4.1.9.1.117,,,objectidentity,,""
ciscoPro1602,1.3.6.1.4.1.9.1.118,,,objectidentity,,""
ciscoPro1603,1.3.6.1.4.1.9.1.119,,,objectidentity,,""
ciscoPro1604,1.3.6.1.4.1.9.1.120,,,objectidentity,,""
ciscoWSX5301,1.3.6.1.4.1.9.1.121,,,objectidentity,,""
