2022-12-19 04:09:35 UTC | CORE | INFO | (pkg/workloadmeta/store.go:340 in startCandidates) | workloadmeta collector "kube_metadata" could not start. error: component workloadmeta-kube_metadata is disabled: Agent is not running on Kubernetes
2022-12-19 04:09:35 UTC | CORE | INFO | (pkg/workloadmeta/store.go:340 in startCandidates) | workloadmeta collector "cloudfoundry-vm" could not start. error: component workloadmeta-cloudfoundry-vm is disabled: Agent is not running on CloudFoundry
2022-12-19 04:09:35 UTC | CORE | INFO | (pkg/workloadmeta/store.go:340 in startCandidates) | workloadmeta collector "cloudfoundry-container" could not start. error: component workloadmeta-cloudfoundry-container is disabled: Agent is not running on CloudFoundry
2022-12-19 04:09:35 UTC | CORE | INFO | (pkg/workloadmeta/store.go:154 in Start) | workloadmeta store initialized successfully
2022-12-19 04:09:35 UTC | CORE | WARN | (pkg/config/viper.go:264 in GetStringMapString) | failed to get configuration value for key "docker_labels_as_tags": json: cannot unmarshal bool into Go value of type map[string]string
2022-12-19 04:09:35 UTC | CORE | WARN | (pkg/config/viper.go:264 in GetStringMapString) | failed to get configuration value for key "docker_env_as_tags": json: cannot unmarshal bool into Go value of type map[string]string
2022-12-19 04:09:35 UTC | CORE | INFO | (pkg/collector/python/init.go:322 in resolvePythonExecPath) | Using '/opt/datadog-agent/embedded' as Python home
2022-12-19 04:09:35 UTC | CORE | DEBUG | (pkg/collector/python/init.go:376 in Initialize) | Using '/opt/datadog-agent/embedded/bin/python3' as Python interpreter path
2022-12-19 04:09:35 UTC | CORE | INFO | (pkg/collector/python/init.go:389 in Initialize) | Initializing rtloader with Python 3 /opt/datadog-agent/embedded
2022-12-19 04:09:35 UTC | CORE | DEBUG | (pkg/config/config.go:1827 in IsCloudProviderEnabled) | cloud_provider_metadata is set to [aws gcp azure alibaba oracle ibm] in agent configuration, trying endpoints for AWS Cloud Provider
